z,m_b_mean,m_b_sigma,dm_b_dz_mean,dm_b_dz_sigma
0.0625,17.893313645552645,0.016941703504403834,-8.581966669372212,12.591613782317838
0.063,17.911377915002717,0.01695248254101995,-8.456670160644494,12.664737474004731
0.075,18.307997474672995,0.01745929121503434,-5.055189099409456,13.860859397988051
0.082,18.51203331404802,0.017892806631949427,-2.9198423868016796,14.152608028094008
0.0902,18.730809190710694,0.01844915225729938,-0.44013503043106433,14.21529574439748
0.0906,18.740987653143737,0.018476737649514702,-0.32133312418339605,14.211987220515805
0.0912,18.756175051469214,0.018518121524914482,-0.14362590227378189,14.206035998124662
0.095,18.850199745947606,0.01877952845451278,0.9666847389704921,14.142409449780033
0.1006,18.982410967724682,0.01915786825261266,2.547835670484969,13.976759833199477
0.1036,19.050375946533965,0.019354892355267283,3.3644251370537392,13.85817145749325
0.104,19.059295748562096,0.019380796104161428,3.471598659119844,13.840973059364526
0.106,19.103409866186876,0.01950890912428612,4.001286659854193,13.750450489338977
0.12,19.391687730624373,0.020329849642151367,7.407072758482806,12.949938084749975
0.1206,19.403314453650292,0.02036182356570963,7.540938510262069,12.910656059655421
0.123,19.449278304806366,0.020486999903753342,8.066410461931085,12.750565475566477
0.1241,19.470061048835117,0.020542919603526343,8.301921383418668,12.675732130430807
0.125,19.486935416353774,0.02058799480221575,8.492128039163992,12.613883544234358
0.126,19.505549967520473,0.020637365770242555,8.700853875608583,12.544548847141042
0.1276,19.53504358300755,0.02071480690611256,9.029111242535887,12.432371769730228
0.1281,19.54418839456767,0.020738617498932427,9.13025723716306,12.3970253315764
0.1303,19.584027471261177,0.020841198638208037,9.567231150969896,12.24002169427197
0.1318,19.610826376031735,0.020909119035449533,9.857675995593105,12.131737418362336
0.133,19.632058130445316,0.020962291130571048,10.085692691797398,12.0444832889927
0.134,19.64961302512063,0.021005819635614886,10.27277926026536,11.971392387502135
0.1343,19.654855289689216,0.021018740770838467,10.328388668490705,11.949403285917516
0.135,19.667044222553752,0.021048645140533992,10.457220309133406,11.8979919214983
0.1351,19.66878060876239,0.0210528893090009,10.475519495060347,11.890636081110355
0.137,19.701542704109475,0.021132217185587235,10.818227573867036,11.750388317347117
0.1371,19.70325508159983,0.021136323874821984,10.836004048260527,11.742983345828913
0.1406,19.762455409300134,0.021275841001909334,11.441943543157187,11.482660356181759
0.143,19.802249268338432,0.0213668955354455,11.839444697605897,11.30324253632698
0.153,19.9615366076133,0.02170901172027579,13.34417891237709,10.555397203515907
0.1534,19.967701552020127,0.021721534865840806,13.3994573253277,10.525654155894129
0.155,19.992210631441687,0.021770800000147063,13.616920568323849,10.406926965068303
0.1551,19.993734514739685,0.021773835734110642,13.630319290368512,10.399520473523816
0.1584,20.043509985794707,0.021871252471513263,14.059945488677815,10.156168318873927
0.16,20.067292747147068,0.021916622822394996,14.25962457113481,10.039014046657837
0.1604,20.07320342549925,0.021927782782509068,14.30867856491387,10.009820158881734
0.1634,20.117096182794246,0.022009242207029562,14.66571633627298,9.792178920309736
0.164,20.125783621022936,0.022025074549526392,14.734851592136934,9.748945686776663
0.1668,20.165933668048254,0.022097037435294124,15.047671486818649,9.548603101200476
0.168,20.182947107505314,0.02212694719779459,15.176863690059802,9.463491985056168
0.1688,20.19422604368481,0.022146589402763994,15.261392753927318,9.407013718144409
0.1697,20.206854947892047,0.022168409618370154,15.354973444141569,9.343733481153254
0.178,20.320444516402183,0.022357037623138835,16.14489060229755,8.774069944871929
0.18,20.347071643005798,0.022399452641885274,16.316248694480002,8.640840109725143
0.186,20.425321643037076,0.022520791392715185,16.788531389597196,8.251367839337526
0.189,20.46356469653947,0.0225785566169894,17.002062739704158,8.062628460054563
0.1899,20.474926941177284,0.02259555555413183,17.063285659038435,8.006811822347997
0.19,20.476186303806095,0.022597435425390215,17.070008555525288,8.000633175478177
0.191,20.488745968587263,0.02261613904852556,17.136367695518455,7.93910328519681
0.195,20.538377902564466,0.02268935162071313,17.38627909936317,7.697707372752967
0.1959,20.549413986011796,0.022705502826488484,17.439158913327443,7.64444871397667
0.197,20.56283845440107,0.022725098305779182,17.502154997350612,7.579887720896175
0.205,20.6584198346006,0.022863623489365235,17.908167103400398,7.1282778232084425
0.206,20.670122239736642,0.022880541947623664,17.95271100762845,7.074072852357561
0.2074,20.686417100494033,0.0229041143312969,18.012844300040015,6.9990339127861585
0.208,20.693369305608485,0.022914179655846856,18.037828910120165,6.967177990234925
0.2089,20.70376271802486,0.022929239495440724,18.07443034728614,6.919736429394028
0.215,20.77312930539167,0.02303039140421908,18.29560088407711,6.609063051732038
0.2172,20.79769896162546,0.023066619445339293,18.364258567388575,6.501684057050264
0.221,20.839598789221398,0.023129094102045923,18.46961052622376,6.322049370589937
0.222,20.850514038340307,0.023145537781598023,18.494622212252327,6.276005462465825
0.227,20.90441642350378,0.023227972408712574,18.603360675581445,6.053441740182254
0.228,20.915064887351587,0.02324452899429299,18.62193241521984,6.0104551429766255
0.232,20.957231369261052,0.023311104889123076,18.686040564979177,5.843562834809305
0.237,21.00900503385107,0.023395350671815758,18.74415610655843,5.646217187571338
0.238,21.019238669922384,0.023412366254316412,18.752957639569768,5.608234472383751
0.241,21.049703420626493,0.02346379456505928,18.77391806700364,5.497224508585764
0.245,21.089784074781605,0.023533347935824348,18.789560998652657,5.355984160030804
0.248,21.11945119946258,0.023586329133379935,18.79242804114071,5.25504755934648
0.2551,21.188369947144533,0.02371484016211481,18.77061098539737,5.032742259579418
0.2681,21.310120589629328,0.023963120677209796,18.63571135051722,4.682771697443703
0.273,21.35461328266889,0.024061510053787552,18.55611248976299,4.568638407543587
0.274,21.36360373067907,0.02408193023781026,18.53808145746849,4.546465452059802
0.2775,21.394836276067053,0.02415432796352235,18.47038845364741,4.471741878083741
0.28,21.416926074567815,0.024206934124583676,18.417796724175595,4.4210351953536415
0.282,21.43446890287794,0.024249561487034246,18.373264221167616,4.382016689149243
0.285,21.460571900704522,0.02431441483735949,18.302495243741152,4.325982550389878
0.2881,21.487283683545602,0.024382589294277935,18.22453188465232,4.2711086787592905
0.2905,21.50778492279926,0.0244361841540184,18.160918635147286,4.2306546466233454
0.294,21.537408482828678,0.024515624209242116,18.063251654994446,4.174693266605323
0.299,21.579177499499302,0.024631755894474975,17.914112362161134,4.100647047005702
0.317,21.724487388441684,0.025075570931243674,17.29374928959334,3.8836668659884235
0.321,21.755763973681653,0.025179612610752324,17.140188729999046,3.844389023507187
0.3214,21.75887228450724,0.025190123621340384,17.124550105985904,3.8406154162738066
0.322,21.76352822273803,0.025205926421242933,17.100998095193088,3.8350058309939477
0.324,21.778991787516993,0.0252589161256727,17.021687597589878,3.8167389161092
0.325,21.78669136771029,0.025285591426755984,16.98157651565924,3.8078485299253555
0.332,21.839999349992077,0.02547565798360957,16.69268865308494,3.7498557878768093
0.347,21.95091333166727,0.025902210597526027,16.03092958821173,3.64696366258942
0.3501,21.973298413290433,0.02599356435881385,15.887787354765557,3.628745782219725
0.351,21.979764077650472,0.02602028814882097,15.845860950460414,3.623627405642254
0.352,21.986930774613402,0.026050087257262464,15.799086643582916,3.618027351177231
0.358,22.029552467712147,0.026231210068887637,15.514435007278445,3.586251225046738
0.361,22.050624434686576,0.026323256614082687,15.369677741029358,3.5714602184333537
0.363,22.064585699077135,0.026385166734785234,15.272329262047613,3.561977388393751
0.365,22.07847846396966,0.026447511519189996,15.174333962513288,3.5527835670630474
0.3717,22.124529548178316,0.026659515148235956,14.841639715223984,3.523955798034816
0.389,22.24010351368824,0.02722915950399843,13.956093692063957,3.4616597101425266
0.3918,22.25837746118529,0.027324361521469345,13.809818043340938,3.4530092028798194
0.3957,22.283637954176243,0.027458364913305017,13.60495538652519,3.44155614470503
0.3966,22.289435866068516,0.027489520977559915,13.557506210251283,3.439008727870759
0.4,22.311234119119575,0.02760801047166911,13.377711265724363,3.4296989733085606
0.402,22.32397986071399,0.02767829486659128,13.271572926266233,3.4244494186524475
0.407,22.35559954869404,0.027855913103204333,13.005132368184114,3.4120358449245076
0.408,22.361882071517286,0.027891765573600943,12.95167273565347,3.409671950957494
0.4115,22.383763797134044,0.02801811889228546,12.764162745263897,3.4017018727322306
0.419,22.430102494607468,0.028293480935362412,12.360564830105039,3.3861649087613532
0.4245,22.463618802655386,0.028499470288328475,12.063396584045542,3.376056975196316
0.43,22.496752123813252,0.028708963298001856,11.765535872660866,3.36699619676001
0.437,22.538382414021207,0.028980768268876623,11.385861987666095,3.3569297264504607
0.438,22.544281243694574,0.029020078937779237,11.331597660659074,3.3556225966886335
0.439,22.550168140708674,0.02905951133793667,11.277331484585966,3.354347725112085
0.44,22.556043156129462,0.029099065940213695,11.223064906612127,3.353104958735555
0.4456,22.58872602481647,0.029322852357903172,10.919230960470996,3.3467317886541275
0.456,22.648467796175964,0.02974895318773754,10.355871652798758,3.33746798324592
0.458,22.659817773628543,0.02983249685399299,10.247764077613459,3.3360594290494454
0.4627,22.68631800999127,0.030030901900967633,9.99411362933173,3.333210513965797
0.463,22.68800138820217,0.030043665866255776,9.977944379535488,3.333050395285436
0.467,22.710354362382922,0.030215009091532918,9.762626738216637,3.3311610375300136
0.4671,22.710911004840405,0.030219320396312473,9.75725062186848,3.331119615039481
0.47,22.727007762864385,0.030344941334837987,9.601499077110319,3.330040253328227
0.473,22.743566982884964,0.030476108916763976,9.440712531061298,3.329169145504882
0.474,22.749065984078346,0.030520108104565898,9.387197663545724,3.328933592864015
0.476,22.760033119112542,0.030608524167406365,9.280294983056905,3.328543846009104
0.481,22.787272736748527,0.030832021203515355,9.01382539172744,3.3280372385208428
0.483,22.79809811013251,0.030922411663648803,8.90757253999149,3.3280185861549594
0.485,22.808883669852147,0.03101337367499122,8.801522284746808,3.3281032669983412
0.4859,22.813724262391883,0.031054493886487667,8.753867700225834,3.328174761242626
0.4865,22.81694689208906,0.031081972150956524,8.72212190513338,3.328233856614647
0.49,22.83567533875438,0.03124329952419895,8.537330105694673,3.3287590148873045
0.4936,22.8548149854939,0.031411095946465475,8.347984884637777,3.3296154363740813
0.494,22.856933928647805,0.031429857091258596,8.326993671054954,3.329730075551404
0.497,22.87277743354299,0.03157131601292085,8.169869810009928,3.33071215950928
0.498,22.87803965710719,0.03161876413506815,8.117619191096038,3.3310870044569736
0.504,22.90941646966712,0.031906571858187405,7.805471733565407,3.333823231342905
0.5074,22.92704896731982,0.03207205046797419,7.62966159492255,3.3357353023240166
0.513,22.95586192710216,0.03234839622014048,7.341874747813182,3.3394335950759593
0.5169,22.97576242444296,0.03254365330505802,7.14281632896163,3.3423991997423874
0.517,22.976270924872402,0.03254869023917011,7.137727417335492,3.342479341448808
0.52,22.991485145517064,0.03270050491812604,6.985419157668735,3.344977050248633
0.522,23.00158435234252,0.032802475291982484,6.8842716604657666,3.3467412010493827
0.523,23.006620963097877,0.03285368886998997,6.8338171271187615,3.3476524558298277
0.524,23.011648951413534,0.03290505477970404,6.783442860195822,3.348582929843464
0.525,23.01666834657073,0.03295657306117356,6.733149443468415,3.349532447455697
0.526,23.021679177678052,0.033008243743842036,6.6829374540497986,3.3505008327567998
